# Model:
# Number_of_Rigid_Bodies:2
# Number_of_Frames:101
# Sampling_Frequency:100

# ***** Coordinates [m] *****
# Frame,Time,Body_1_X,Body_1_Y,Body_1_Ux,Body_1_Uy,Body_2_X,Body_2_Y,Body_2_Ux,Body_2_Uy
0.0,0.0,0.3537,-0.3534,0.7074,-0.7068,1.2074,-0.7068,1.0,0.0
1.0,0.01,0.3485,-0.3586,0.6969,-0.7171,1.1969,-0.7245,0.9999,-0.0147
2.0,0.02,0.3431,-0.3637,0.6862,-0.7274,1.186,-0.7421,0.9996,-0.0295
3.0,0.03,0.3376,-0.3688,0.6753,-0.7376,1.1748,-0.7598,0.999,-0.0444
4.0,0.04,0.3321,-0.3738,0.6641,-0.7476,1.1632,-0.7774,0.9982,-0.0595
5.0,0.05,0.3263,-0.3788,0.6527,-0.7576,1.1513,-0.7949,0.9972,-0.0746
6.0,0.06,0.3205,-0.3838,0.641,-0.7675,1.139,-0.8124,0.996,-0.0898
7.0,0.07,0.3146,-0.3886,0.6292,-0.7773,1.1264,-0.8298,0.9945,-0.1051
8.0,0.08,0.3085,-0.3935,0.6171,-0.7869,1.1134,-0.8471,0.9927,-0.1205
9.0,0.09,0.3024,-0.3982,0.6048,-0.7964,1.1001,-0.8644,0.9907,-0.1359
10.0,0.1,0.2961,-0.4029,0.5922,-0.8058,1.0865,-0.8815,0.9885,-0.1514
11.0,0.11,0.2897,-0.4075,0.5795,-0.815,1.0725,-0.8984,0.986,-0.1669
12.0,0.12,0.2833,-0.412,0.5666,-0.824,1.0582,-0.9152,0.9832,-0.1824
13.0,0.13,0.2767,-0.4165,0.5534,-0.8329,1.0435,-0.9319,0.9802,-0.198
14.0,0.14,0.27,-0.4208,0.5401,-0.8416,1.0285,-0.9484,0.9769,-0.2136
15.0,0.15,0.2633,-0.4251,0.5266,-0.8501,1.0133,-0.9647,0.9734,-0.2292
16.0,0.16,0.2564,-0.4292,0.5129,-0.8585,0.9977,-0.9808,0.9696,-0.2448
17.0,0.17,0.2495,-0.4333,0.499,-0.8666,0.9818,-0.9968,0.9655,-0.2603
18.0,0.18,0.2425,-0.4373,0.485,-0.8745,0.9656,-1.0124,0.9612,-0.2758
19.0,0.19,0.2354,-0.4411,0.4708,-0.8822,0.9491,-1.0279,0.9566,-0.2913
20.0,0.2,0.2282,-0.4449,0.4564,-0.8898,0.9323,-1.0431,0.9518,-0.3068
21.0,0.21,0.221,-0.4485,0.442,-0.897,0.9153,-1.0581,0.9467,-0.3222
22.0,0.22,0.2137,-0.452,0.4273,-0.9041,0.898,-1.0728,0.9413,-0.3375
23.0,0.23,0.2063,-0.4555,0.4126,-0.9109,0.8805,-1.0873,0.9357,-0.3527
24.0,0.24,0.1989,-0.4587,0.3977,-0.9175,0.8627,-1.1014,0.9299,-0.3679
25.0,0.25,0.1914,-0.4619,0.3828,-0.9238,0.8447,-1.1153,0.9238,-0.383
26.0,0.26,0.1839,-0.465,0.3677,-0.9299,0.8264,-1.1289,0.9174,-0.3979
27.0,0.27,0.1763,-0.4679,0.3525,-0.9358,0.808,-1.1422,0.9108,-0.4128
28.0,0.28,0.1687,-0.4707,0.3373,-0.9414,0.7893,-1.1552,0.904,-0.4275
29.0,0.29,0.161,-0.4734,0.322,-0.9467,0.7705,-1.1678,0.897,-0.4421
30.0,0.3,0.1533,-0.4759,0.3066,-0.9518,0.7515,-1.1801,0.8897,-0.4566
31.0,0.31,0.1456,-0.4783,0.2912,-0.9567,0.7323,-1.1921,0.8822,-0.4709
32.0,0.32,0.1379,-0.4806,0.2757,-0.9612,0.713,-1.2038,0.8745,-0.4851
33.0,0.33,0.1301,-0.4828,0.2602,-0.9656,0.6935,-1.2151,0.8665,-0.4991
34.0,0.34,0.1223,-0.4848,0.2447,-0.9696,0.6739,-1.2261,0.8584,-0.5129
35.0,0.35,0.1146,-0.4867,0.2291,-0.9734,0.6542,-1.2367,0.8501,-0.5266
36.0,0.36,0.1068,-0.4885,0.2136,-0.9769,0.6344,-1.247,0.8416,-0.5401
37.0,0.37,0.099,-0.4901,0.198,-0.9802,0.6145,-1.2569,0.8329,-0.5534
38.0,0.38,0.0913,-0.4916,0.1825,-0.9832,0.5945,-1.2665,0.8241,-0.5665
39.0,0.39,0.0835,-0.493,0.167,-0.986,0.5745,-1.2757,0.815,-0.5794
40.0,0.4,0.0758,-0.4942,0.1515,-0.9885,0.5545,-1.2845,0.8059,-0.5921
41.0,0.41,0.0681,-0.4953,0.1361,-0.9907,0.5344,-1.293,0.7965,-0.6046
42.0,0.42,0.0604,-0.4963,0.1207,-0.9927,0.5143,-1.3011,0.7871,-0.6169
43.0,0.43,0.0527,-0.4972,0.1054,-0.9944,0.4942,-1.3089,0.7775,-0.6289
44.0,0.44,0.0451,-0.498,0.0902,-0.9959,0.4741,-1.3163,0.7677,-0.6408
45.0,0.45,0.0375,-0.4986,0.075,-0.9972,0.454,-1.3234,0.7579,-0.6524
46.0,0.46,0.03,-0.4991,0.06,-0.9982,0.434,-1.3301,0.748,-0.6637
47.0,0.47,0.0225,-0.4995,0.045,-0.999,0.414,-1.3364,0.7379,-0.6749
48.0,0.48,0.0151,-0.4998,0.0301,-0.9995,0.3941,-1.3424,0.7278,-0.6858
49.0,0.49,0.0077,-0.4999,0.0154,-0.9999,0.3742,-1.3481,0.7176,-0.6964
50.0,0.5,0.0004,-0.5,0.0008,-1.0,0.3545,-1.3534,0.7074,-0.7068
51.0,0.51,-0.0068,-0.5,-0.0137,-0.9999,0.3349,-1.3584,0.6971,-0.717
52.0,0.52,-0.014,-0.4998,-0.0281,-0.9996,0.3153,-1.3631,0.6867,-0.7269
53.0,0.53,-0.0212,-0.4996,-0.0423,-0.9991,0.2958,-1.3674,0.6762,-0.7367
54.0,0.54,-0.0283,-0.4992,-0.0566,-0.9984,0.2763,-1.3715,0.6657,-0.7462
55.0,0.55,-0.0354,-0.4987,-0.0707,-0.9975,0.2568,-1.3753,0.655,-0.7556
56.0,0.56,-0.0425,-0.4982,-0.0849,-0.9964,0.2372,-1.3788,0.6442,-0.7649
57.0,0.57,-0.0496,-0.4975,-0.0991,-0.9951,0.2175,-1.3821,0.6332,-0.774
58.0,0.58,-0.0567,-0.4968,-0.1133,-0.9936,0.1977,-1.385,0.6221,-0.7829
59.0,0.59,-0.0638,-0.4959,-0.1276,-0.9918,0.1778,-1.3877,0.6108,-0.7918
60.0,0.6,-0.071,-0.4949,-0.142,-0.9899,0.1576,-1.3902,0.5992,-0.8006
61.0,0.61,-0.0782,-0.4938,-0.1565,-0.9877,0.1373,-1.3923,0.5874,-0.8093
62.0,0.62,-0.0855,-0.4926,-0.1711,-0.9853,0.1166,-1.3942,0.5754,-0.8179
63.0,0.63,-0.0929,-0.4913,-0.1858,-0.9826,0.0957,-1.3958,0.5631,-0.8264
64.0,0.64,-0.1004,-0.4898,-0.2008,-0.9796,0.0744,-1.3971,0.5504,-0.8349
65.0,0.65,-0.108,-0.4882,-0.2159,-0.9764,0.0528,-1.3981,0.5374,-0.8433
66.0,0.66,-0.1156,-0.4864,-0.2313,-0.9729,0.0308,-1.3987,0.5241,-0.8517
67.0,0.67,-0.1234,-0.4845,-0.2469,-0.9691,0.0083,-1.399,0.5103,-0.86
68.0,0.68,-0.1314,-0.4824,-0.2627,-0.9649,-0.0146,-1.399,0.4962,-0.8682
69.0,0.69,-0.1394,-0.4802,-0.2788,-0.9603,-0.0381,-1.3985,0.4815,-0.8764
70.0,0.7,-0.1476,-0.4777,-0.2953,-0.9554,-0.062,-1.3977,0.4665,-0.8845
71.0,0.71,-0.156,-0.475,-0.312,-0.9501,-0.0866,-1.3964,0.4509,-0.8926
72.0,0.72,-0.1645,-0.4722,-0.329,-0.9443,-0.1117,-1.3946,0.4347,-0.9006
73.0,0.73,-0.1732,-0.469,-0.3464,-0.9381,-0.1374,-1.3923,0.418,-0.9084
74.0,0.74,-0.1821,-0.4657,-0.3641,-0.9313,-0.1638,-1.3894,0.4007,-0.9162
75.0,0.75,-0.1911,-0.462,-0.3822,-0.9241,-0.1908,-1.386,0.3828,-0.9238
76.0,0.76,-0.2003,-0.4581,-0.4006,-0.9162,-0.2185,-1.3819,0.3642,-0.9313
77.0,0.77,-0.2097,-0.4539,-0.4193,-0.9078,-0.2468,-1.3771,0.3451,-0.9386
78.0,0.78,-0.2191,-0.4495,-0.4381,-0.8989,-0.2754,-1.3717,0.3255,-0.9456
79.0,0.79,-0.2285,-0.4448,-0.4569,-0.8895,-0.3042,-1.3656,0.3055,-0.9522
80.0,0.8,-0.2378,-0.4398,-0.4756,-0.8796,-0.333,-1.3589,0.2853,-0.9584
81.0,0.81,-0.2471,-0.4347,-0.4942,-0.8694,-0.3617,-1.3515,0.2649,-0.9643
82.0,0.82,-0.2562,-0.4294,-0.5124,-0.8588,-0.3901,-1.3436,0.2445,-0.9696
83.0,0.83,-0.2651,-0.4239,-0.5302,-0.8479,-0.4181,-1.3351,0.2242,-0.9745
84.0,0.84,-0.2738,-0.4184,-0.5475,-0.8368,-0.4455,-1.3263,0.2041,-0.9789
85.0,0.85,-0.2821,-0.4128,-0.5643,-0.8256,-0.4721,-1.317,0.1844,-0.9829
86.0,0.86,-0.2902,-0.4072,-0.5804,-0.8143,-0.4979,-1.3075,0.165,-0.9863
87.0,0.87,-0.2979,-0.4016,-0.5958,-0.8032,-0.5227,-1.2978,0.1462,-0.9892
88.0,0.88,-0.3052,-0.3961,-0.6104,-0.7921,-0.5463,-1.288,0.1281,-0.9918
89.0,0.89,-0.312,-0.3907,-0.6241,-0.7814,-0.5686,-1.2783,0.1108,-0.9938
90.0,0.9,-0.3184,-0.3855,-0.6369,-0.771,-0.5896,-1.2687,0.0944,-0.9955
91.0,0.91,-0.3243,-0.3805,-0.6487,-0.7611,-0.6091,-1.2595,0.0791,-0.9969
92.0,0.92,-0.3297,-0.3759,-0.6594,-0.7517,-0.627,-1.2507,0.0649,-0.9979
93.0,0.93,-0.3346,-0.3716,-0.6691,-0.7431,-0.6432,-1.2425,0.0519,-0.9987
94.0,0.94,-0.3389,-0.3677,-0.6777,-0.7353,-0.6576,-1.2349,0.0403,-0.9992
95.0,0.95,-0.3426,-0.3642,-0.6851,-0.7284,-0.67,-1.2282,0.0302,-0.9995
96.0,0.96,-0.3456,-0.3613,-0.6913,-0.7226,-0.6804,-1.2225,0.0217,-0.9998
97.0,0.97,-0.3481,-0.3589,-0.6962,-0.7179,-0.6887,-1.2178,0.0149,-0.9999
