# Model:
# Number_of_Rigid_Bodies:1
# Number_of_Frames:376
# Sampling_Frequency:100

# ***** Coordinates [m] *****
# Frame,Time,Body_1_X,Body_1_Y,Body_1_Ux,Body_1_Uy
0.0,0.0,1.0,0.0,0.7071,0.7071
1.0,0.01,1.04,0.0,0.7071,0.7071
2.0,0.02,1.08,0.0,0.7071,0.7071
3.0,0.03,1.12,0.0,0.7071,0.7071
4.0,0.04,1.16,0.0,0.7071,0.7071
5.0,0.05,1.2,0.0,0.7071,0.7071
6.0,0.06,1.24,0.0,0.7071,0.7071
7.0,0.07,1.28,0.0,0.7071,0.7071
8.0,0.08,1.32,0.0,0.7071,0.7071
9.0,0.09,1.36,0.0,0.7071,0.7071
10.0,0.1,1.4,0.0,0.7071,0.7071
11.0,0.11,1.44,0.0,0.7071,0.7071
12.0,0.12,1.48,0.0,0.7071,0.7071
13.0,0.13,1.52,0.0,0.7071,0.7071
14.0,0.14,1.56,0.0,0.7071,0.7071
15.0,0.15,1.6,0.0,0.7071,0.7071
16.0,0.16,1.64,0.0,0.7071,0.7071
17.0,0.17,1.68,0.0,0.7071,0.7071
18.0,0.18,1.72,0.0,0.7071,0.7071
19.0,0.19,1.76,0.0,0.7071,0.7071
20.0,0.2,1.8,0.0,0.7071,0.7071
21.0,0.21,1.84,0.0,0.7071,0.7071
22.0,0.22,1.88,0.0,0.7071,0.7071
23.0,0.23,1.92,0.0,0.7071,0.7071
24.0,0.24,1.96,0.0,0.7071,0.7071
25.0,0.25,2.0,0.0,0.7071,0.7071
26.0,0.26,2.04,0.0,0.7071,0.7071
27.0,0.27,2.08,0.0,0.7071,0.7071
28.0,0.28,2.12,0.0,0.7071,0.7071
29.0,0.29,2.16,0.0,0.7071,0.7071
30.0,0.3,2.2,0.0,0.7071,0.7071
31.0,0.31,2.24,0.0,0.7071,0.7071
32.0,0.32,2.28,0.0,0.7071,0.7071
33.0,0.33,2.32,0.0,0.7071,0.7071
34.0,0.34,2.36,0.0,0.7071,0.7071
35.0,0.35,2.4,0.0,0.7071,0.7071
36.0,0.36,2.44,0.0,0.7071,0.7071
37.0,0.37,2.48,0.0,0.7071,0.7071
38.0,0.38,2.52,0.0,0.7071,0.7071
39.0,0.39,2.56,0.0,0.7071,0.7071
40.0,0.4,2.6,0.0,0.7071,0.7071
41.0,0.41,2.64,0.0,0.7071,0.7071
42.0,0.42,2.68,0.0,0.7071,0.7071
43.0,0.43,2.72,0.0,0.7071,0.7071
44.0,0.44,2.76,0.0,0.7071,0.7071
45.0,0.45,2.8,0.0,0.7071,0.7071
46.0,0.46,2.84,0.0,0.7071,0.7071
47.0,0.47,2.88,0.0,0.7071,0.7071
48.0,0.48,2.92,0.0,0.7071,0.7071
49.0,0.49,2.96,0.0,0.7071,0.7071
50.0,0.5,3.0,0.0,0.7071,0.7071
51.0,0.51,3.04,0.0,0.7071,0.7071
52.0,0.52,3.08,0.0,0.7071,0.7071
53.0,0.53,3.12,0.0,0.7071,0.7071
54.0,0.54,3.16,0.0,0.7071,0.7071
55.0,0.55,3.2,0.0,0.7071,0.7071
56.0,0.56,3.24,0.0,0.7071,0.7071
57.0,0.57,3.28,0.0,0.7071,0.7071
58.0,0.58,3.32,0.0,0.7071,0.7071
59.0,0.59,3.36,0.0,0.7071,0.7071
60.0,0.6,3.4,0.0,0.7071,0.7071
61.0,0.61,3.44,0.0,0.7071,0.7071
62.0,0.62,3.48,0.0,0.7071,0.7071
63.0,0.63,3.52,0.0,0.7071,0.7071
64.0,0.64,3.56,0.0,0.7071,0.7071
65.0,0.65,3.6,0.0,0.7071,0.7071
66.0,0.66,3.64,0.0,0.7071,0.7071
67.0,0.67,3.68,0.0,0.7071,0.7071
68.0,0.68,3.72,0.0,0.7071,0.7071
69.0,0.69,3.76,0.0,0.7071,0.7071
70.0,0.7,3.8,0.0,0.7071,0.7071
71.0,0.71,3.84,0.0,0.7071,0.7071
72.0,0.72,3.88,0.0,0.7071,0.7071
73.0,0.73,3.92,0.0,0.7071,0.7071
74.0,0.74,3.96,0.0,0.7071,0.7071
75.0,0.75,4.0,0.0,0.7071,0.7071
76.0,0.76,4.04,0.0,0.7071,0.7071
77.0,0.77,4.08,0.0,0.7071,0.7071
78.0,0.78,4.12,0.0,0.7071,0.7071
79.0,0.79,4.16,0.0,0.7071,0.7071
80.0,0.8,4.2,0.0,0.7071,0.7071
81.0,0.81,4.24,0.0,0.7071,0.7071
82.0,0.82,4.28,0.0,0.7071,0.7071
83.0,0.83,4.32,0.0,0.7071,0.7071
84.0,0.84,4.36,0.0,0.7071,0.7071
85.0,0.85,4.4,0.0,0.7071,0.7071
86.0,0.86,4.44,0.0,0.7071,0.7071
87.0,0.87,4.48,0.0,0.7071,0.7071
88.0,0.88,4.52,0.0,0.7071,0.7071
89.0,0.89,4.56,0.0,0.7071,0.7071
90.0,0.9,4.6,0.0,0.7071,0.7071
91.0,0.91,4.64,0.0,0.7071,0.7071
92.0,0.92,4.68,0.0,0.7071,0.7071
93.0,0.93,4.72,0.0,0.7071,0.7071
94.0,0.94,4.76,0.0,0.7071,0.7071
95.0,0.95,4.8,0.0,0.7071,0.7071
96.0,0.96,4.84,0.0,0.7071,0.7071
97.0,0.97,4.88,0.0,0.7071,0.7071
98.0,0.98,4.92,0.0,0.7071,0.7071
99.0,0.99,4.96,0.0,0.7071,0.7071
100.0,1.0,5.0,0.0,0.7071,0.7071
101.0,1.01,5.04,0.0,0.7071,0.7071
102.0,1.02,5.08,0.0,0.7071,0.7071
103.0,1.03,5.12,0.0,0.7071,0.7071
104.0,1.04,5.16,0.0,0.7071,0.7071
105.0,1.05,5.2,0.0,0.7071,0.7071
106.0,1.06,5.24,0.0,0.7071,0.7071
107.0,1.07,5.28,0.0,0.7071,0.7071
108.0,1.08,5.32,0.0,0.7071,0.7071
109.0,1.09,5.36,0.0,0.7071,0.7071
110.0,1.1,5.4,0.0,0.7071,0.7071
111.0,1.11,5.44,0.0,0.7071,0.7071
112.0,1.12,5.48,0.0,0.7071,0.7071
113.0,1.13,5.52,0.0,0.7071,0.7071
114.0,1.14,5.56,0.0,0.7071,0.7071
115.0,1.15,5.6,0.0,0.7071,0.7071
116.0,1.16,5.64,0.0,0.7071,0.7071
117.0,1.17,5.68,0.0,0.7071,0.7071
118.0,1.18,5.72,0.0,0.7071,0.7071
119.0,1.19,5.76,0.0,0.7071,0.7071
120.0,1.2,5.8,0.0,0.7071,0.7071
121.0,1.21,5.84,0.0,0.7071,0.7071
122.0,1.22,5.88,0.0,0.7071,0.7071
123.0,1.23,5.92,0.0,0.7071,0.7071
124.0,1.24,5.96,0.0,0.7071,0.7071
125.0,1.25,6.0,0.0,0.7071,0.7071
126.0,1.26,6.04,0.0,0.7071,0.7071
127.0,1.27,6.08,0.0,0.7071,0.7071
128.0,1.28,6.12,0.0,0.7071,0.7071
129.0,1.29,6.16,0.0,0.7071,0.7071
130.0,1.3,6.2,0.0,0.7071,0.7071
131.0,1.31,6.24,0.0,0.7071,0.7071
132.0,1.32,6.28,0.0,0.7071,0.7071
133.0,1.33,6.32,0.0,0.7071,0.7071
134.0,1.34,6.36,0.0,0.7071,0.7071
135.0,1.35,6.4,0.0,0.7071,0.7071
136.0,1.36,6.44,0.0,0.7071,0.7071
137.0,1.37,6.48,0.0,0.7071,0.7071
138.0,1.38,6.52,0.0,0.7071,0.7071
139.0,1.39,6.56,0.0,0.7071,0.7071
140.0,1.4,6.6,0.0,0.7071,0.7071
141.0,1.41,6.64,0.0,0.7071,0.7071
142.0,1.42,6.68,0.0,0.7071,0.7071
143.0,1.43,6.72,0.0,0.7071,0.7071
144.0,1.44,6.76,0.0,0.7071,0.7071
145.0,1.45,6.8,0.0,0.7071,0.7071
146.0,1.46,6.84,0.0,0.7071,0.7071
147.0,1.47,6.88,0.0,0.7071,0.7071
148.0,1.48,6.92,0.0,0.7071,0.7071
149.0,1.49,6.96,0.0,0.7071,0.7071
150.0,1.5,7.0,0.0,0.7071,0.7071
151.0,1.51,7.04,0.0,0.7071,0.7071
152.0,1.52,7.08,0.0,0.7071,0.7071
153.0,1.53,7.12,0.0,0.7071,0.7071
154.0,1.54,7.16,0.0,0.7071,0.7071
155.0,1.55,7.2,0.0,0.7071,0.7071
156.0,1.56,7.24,0.0,0.7071,0.7071
157.0,1.57,7.28,0.0,0.7071,0.7071
158.0,1.58,7.32,0.0,0.7071,0.7071
159.0,1.59,7.36,0.0,0.7071,0.7071
160.0,1.6,7.4,0.0,0.7071,0.7071
161.0,1.61,7.44,0.0,0.7071,0.7071
162.0,1.62,7.48,0.0,0.7071,0.7071
163.0,1.63,7.52,0.0,0.7071,0.7071
164.0,1.64,7.56,0.0,0.7071,0.7071
165.0,1.65,7.6,0.0,0.7071,0.7071
166.0,1.66,7.64,0.0,0.7071,0.7071
167.0,1.67,7.68,0.0,0.7071,0.7071
168.0,1.68,7.72,0.0,0.7071,0.7071
169.0,1.69,7.76,0.0,0.7071,0.7071
170.0,1.7,7.8,0.0,0.7071,0.7071
171.0,1.71,7.84,0.0,0.7071,0.7071
172.0,1.72,7.88,0.0,0.7071,0.7071
173.0,1.73,7.92,0.0,0.7071,0.7071
174.0,1.74,7.96,0.0,0.7071,0.7071
175.0,1.75,8.0,0.0,0.7071,0.7071
176.0,1.76,8.04,0.0,0.7071,0.7071
177.0,1.77,8.08,0.0,0.7071,0.7071
178.0,1.78,8.12,0.0,0.7071,0.7071
179.0,1.79,8.16,0.0,0.7071,0.7071
180.0,1.8,8.2,0.0,0.7071,0.7071
181.0,1.81,8.24,0.0,0.7071,0.7071
182.0,1.82,8.28,0.0,0.7071,0.7071
183.0,1.83,8.32,0.0,0.7071,0.7071
184.0,1.84,8.36,0.0,0.7071,0.7071
185.0,1.85,8.4,0.0,0.7071,0.7071
186.0,1.86,8.44,0.0,0.7071,0.7071
187.0,1.87,8.48,0.0,0.7071,0.7071
188.0,1.88,8.52,0.0,0.7071,0.7071
189.0,1.89,8.56,0.0,0.7071,0.7071
190.0,1.9,8.6,0.0,0.7071,0.7071
