# Model:
# Number_of_Rigid_Bodies:1
# Number_of_Frames:201
# Sampling_Frequency:100

# ***** Coordinates [m] *****
# Frame,Time,Body_1_X,Body_1_Y,Body_1_Ux,Body_1_Uy
0.0,0.0,0.3537,0.3534,0.7074,0.7068
1.0,0.01,0.3537,0.3534,0.7074,0.7068
2.0,0.02,0.3537,0.3534,0.7074,0.7068
3.0,0.03,0.3537,0.3534,0.7074,0.7068
4.0,0.04,0.3537,0.3534,0.7074,0.7068
5.0,0.05,0.3537,0.3534,0.7074,0.7068
6.0,0.06,0.3537,0.3534,0.7074,0.7068
7.0,0.07,0.3537,0.3534,0.7074,0.7068
8.0,0.08,0.3537,0.3534,0.7074,0.7068
9.0,0.09,0.3537,0.3534,0.7074,0.7068
10.0,0.1,0.3537,0.3534,0.7074,0.7068
11.0,0.11,0.3537,0.3534,0.7074,0.7068
12.0,0.12,0.3537,0.3534,0.7074,0.7068
13.0,0.13,0.3537,0.3534,0.7074,0.7068
14.0,0.14,0.3537,0.3534,0.7074,0.7068
15.0,0.15,0.3537,0.3534,0.7074,0.7068
16.0,0.16,0.3537,0.3534,0.7074,0.7068
17.0,0.17,0.3537,0.3534,0.7074,0.7068
18.0,0.18,0.3537,0.3534,0.7074,0.7068
19.0,0.19,0.3537,0.3534,0.7074,0.7068
20.0,0.2,0.3537,0.3534,0.7074,0.7068
21.0,0.21,0.3537,0.3534,0.7074,0.7068
22.0,0.22,0.3537,0.3534,0.7074,0.7068
23.0,0.23,0.3537,0.3534,0.7074,0.7068
24.0,0.24,0.3537,0.3534,0.7074,0.7068
25.0,0.25,0.3537,0.3534,0.7074,0.7068
26.0,0.26,0.3537,0.3534,0.7074,0.7068
27.0,0.27,0.3537,0.3534,0.7074,0.7068
28.0,0.28,0.3537,0.3534,0.7074,0.7068
29.0,0.29,0.3537,0.3534,0.7074,0.7068
30.0,0.3,0.3537,0.3534,0.7074,0.7068
31.0,0.31,0.3537,0.3534,0.7074,0.7068
32.0,0.32,0.3537,0.3534,0.7074,0.7068
33.0,0.33,0.3537,0.3534,0.7074,0.7068
34.0,0.34,0.3537,0.3534,0.7074,0.7068
35.0,0.35,0.3537,0.3534,0.7074,0.7068
36.0,0.36,0.3537,0.3534,0.7074,0.7068
37.0,0.37,0.3537,0.3534,0.7074,0.7068
38.0,0.38,0.3537,0.3534,0.7074,0.7068
39.0,0.39,0.3537,0.3534,0.7074,0.7068
40.0,0.4,0.3537,0.3534,0.7074,0.7068
41.0,0.41,0.3537,0.3534,0.7074,0.7068
42.0,0.42,0.3537,0.3534,0.7074,0.7068
43.0,0.43,0.3537,0.3534,0.7074,0.7068
