# Model:
# Number_of_Rigid_Bodies:1
# Number_of_Frames:101
# Sampling_Frequency:100

# ***** Coordinates [m] *****
#Frame,Time,Body_1_X,Body_1_Y,Body_1_Ux,Body_1_Uy
0.0,0.0,-1.0,0.0,-1.0,0.0
1.0,0.01,-1.0,0.0002,-1.0,0.0002
2.0,0.02,-1.0,0.0009,-1.0,0.0009
3.0,0.03,-1.0,0.002,-1.0,0.002
4.0,0.04,-1.0,0.0036,-1.0,0.0036
5.0,0.05,-1.0,0.0057,-1.0,0.0057
6.0,0.06,-1.0,0.0081,-1.0,0.0081
7.0,0.07,-0.9999,0.0111,-0.9999,0.0111
8.0,0.08,-0.9999,0.0145,-0.9999,0.0145
9.0,0.09,-0.9998,0.0183,-0.9998,0.0183
10.0,0.1,-0.9997,0.0226,-0.9997,0.0226
11.0,0.11,-0.9996,0.0274,-0.9996,0.0274
12.0,0.12,-0.9995,0.0326,-0.9995,0.0326
13.0,0.13,-0.9993,0.0382,-0.9993,0.0382
14.0,0.14,-0.999,0.0444,-0.999,0.0444
15.0,0.15,-0.9987,0.0509,-0.9987,0.0509
16.0,0.16,-0.9983,0.0579,-0.9983,0.0579
17.0,0.17,-0.9979,0.0654,-0.9979,0.0654
18.0,0.18,-0.9973,0.0733,-0.9973,0.0733
19.0,0.19,-0.9967,0.0816,-0.9967,0.0816
20.0,0.2,-0.9959,0.0904,-0.9959,0.0904
21.0,0.21,-0.995,0.0996,-0.995,0.0996
22.0,0.22,-0.994,0.1093,-0.994,0.1093
23.0,0.23,-0.9928,0.1194,-0.9928,0.1194
24.0,0.24,-0.9915,0.13,-0.9915,0.13
25.0,0.25,-0.99,0.1409,-0.99,0.1409
26.0,0.26,-0.9883,0.1523,-0.9883,0.1523
27.0,0.27,-0.9864,0.1641,-0.9864,0.1641
28.0,0.28,-0.9843,0.1764,-0.9843,0.1764
29.0,0.29,-0.982,0.189,-0.982,0.189
30.0,0.3,-0.9794,0.2021,-0.9794,0.2021
31.0,0.31,-0.9765,0.2155,-0.9765,0.2155
32.0,0.32,-0.9733,0.2294,-0.9733,0.2294
33.0,0.33,-0.9699,0.2436,-0.9699,0.2436
34.0,0.34,-0.9661,0.2582,-0.9661,0.2582
35.0,0.35,-0.962,0.2731,-0.962,0.2731
36.0,0.36,-0.9575,0.2884,-0.9575,0.2884
37.0,0.37,-0.9527,0.3041,-0.9527,0.3041
38.0,0.38,-0.9474,0.32,-0.9474,0.32
39.0,0.39,-0.9418,0.3363,-0.9418,0.3363
40.0,0.4,-0.9357,0.3529,-0.9357,0.3529
41.0,0.41,-0.9291,0.3698,-0.9291,0.3698
42.0,0.42,-0.9221,0.3869,-0.9221,0.3869
43.0,0.43,-0.9146,0.4043,-0.9146,0.4043
44.0,0.44,-0.9067,0.4219,-0.9067,0.4219
45.0,0.45,-0.8981,0.4397,-0.8981,0.4397
46.0,0.46,-0.8891,0.4577,-0.8891,0.4577
47.0,0.47,-0.8795,0.4759,-0.8795,0.4759
48.0,0.48,-0.8693,0.4942,-0.8693,0.4942
49.0,0.49,-0.8586,0.5127,-0.8586,0.5127
50.0,0.5,-0.8472,0.5312,-0.8472,0.5312
51.0,0.51,-0.8353,0.5498,-0.8353,0.5498
52.0,0.52,-0.8227,0.5685,-0.8227,0.5685
53.0,0.53,-0.8095,0.5871,-0.8095,0.5871
54.0,0.54,-0.7956,0.6058,-0.7956,0.6058
55.0,0.55,-0.7811,0.6244,-0.7811,0.6244
56.0,0.56,-0.7659,0.6429,-0.7659,0.6429
57.0,0.57,-0.7501,0.6614,-0.7501,0.6614
58.0,0.58,-0.7335,0.6796,-0.7335,0.6796
59.0,0.59,-0.7163,0.6977,-0.7163,0.6977
60.0,0.6,-0.6985,0.7156,-0.6985,0.7156
61.0,0.61,-0.6799,0.7333,-0.6799,0.7333
62.0,0.62,-0.6607,0.7507,-0.6607,0.7507
63.0,0.63,-0.6408,0.7677,-0.6408,0.7677
64.0,0.64,-0.6202,0.7844,-0.6202,0.7844
65.0,0.65,-0.599,0.8008,-0.599,0.8008
66.0,0.66,-0.5771,0.8167,-0.5771,0.8167
67.0,0.67,-0.5545,0.8322,-0.5545,0.8322
68.0,0.68,-0.5314,0.8471,-0.5314,0.8471
69.0,0.69,-0.5076,0.8616,-0.5076,0.8616
70.0,0.7,-0.4833,0.8755,-0.4833,0.8755
71.0,0.71,-0.4583,0.8888,-0.4583,0.8888
72.0,0.72,-0.4328,0.9015,-0.4328,0.9015
73.0,0.73,-0.4068,0.9135,-0.4068,0.9135
74.0,0.74,-0.3803,0.9249,-0.3803,0.9249
75.0,0.75,-0.3533,0.9355,-0.3533,0.9355
76.0,0.76,-0.3258,0.9454,-0.3258,0.9454
77.0,0.77,-0.298,0.9546,-0.298,0.9546
78.0,0.78,-0.2697,0.9629,-0.2697,0.9629
79.0,0.79,-0.2411,0.9705,-0.2411,0.9705
80.0,0.8,-0.2122,0.9772,-0.2122,0.9772
81.0,0.81,-0.183,0.9831,-0.183,0.9831
82.0,0.82,-0.1535,0.9881,-0.1535,0.9881
83.0,0.83,-0.1239,0.9923,-0.1239,0.9923
84.0,0.84,-0.0941,0.9956,-0.0941,0.9956
85.0,0.85,-0.0641,0.9979,-0.0641,0.9979
86.0,0.86,-0.0341,0.9994,-0.0341,0.9994
87.0,0.87,-0.004,1.0,-0.004,1.0
88.0,0.88,0.0261,0.9997,0.0261,0.9997
89.0,0.89,0.0561,0.9984,0.0561,0.9984
90.0,0.9,0.0861,0.9963,0.0861,0.9963
91.0,0.91,0.116,0.9933,0.116,0.9933
92.0,0.92,0.1457,0.9893,0.1457,0.9893
93.0,0.93,0.1752,0.9845,0.1752,0.9845
94.0,0.94,0.2045,0.9789,0.2045,0.9789
95.0,0.95,0.2335,0.9724,0.2335,0.9724
96.0,0.96,0.2622,0.965,0.2622,0.965
97.0,0.97,0.2905,0.9569,0.2905,0.9569
98.0,0.98,0.3185,0.9479,0.3185,0.9479
99.0,0.99,0.346,0.9382,0.346,0.9382
100.0,1.0,0.3732,0.9278,0.3732,0.9278

# ***** Velocities [m.s^-1] *****
#Frame,Time,Body_1_X,Body_1_Y,Body_1_Ux,Body_1_Uy
0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.01,0.0,0.0453,0.0,0.0453
2.0,0.02,0.0001,0.0906,0.0001,0.0906
3.0,0.03,0.0003,0.1358,0.0003,0.1358
4.0,0.04,0.0007,0.1811,0.0007,0.1811
5.0,0.05,0.0013,0.2264,0.0013,0.2264
6.0,0.06,0.0022,0.2717,0.0022,0.2717
7.0,0.07,0.0035,0.3169,0.0035,0.3169
8.0,0.08,0.0052,0.3622,0.0052,0.3622
9.0,0.09,0.0075,0.4074,0.0075,0.4074
10.0,0.1,0.0102,0.4526,0.0102,0.4526
11.0,0.11,0.0136,0.4978,0.0136,0.4978
12.0,0.12,0.0177,0.543,0.0177,0.543
13.0,0.13,0.0225,0.5881,0.0225,0.5881
14.0,0.14,0.0281,0.6331,0.0281,0.6331
15.0,0.15,0.0346,0.6781,0.0346,0.6781
16.0,0.16,0.0419,0.723,0.0419,0.723
17.0,0.17,0.0503,0.7678,0.0503,0.7678
18.0,0.18,0.0597,0.8124,0.0597,0.8124
19.0,0.19,0.0702,0.8568,0.0702,0.8568
20.0,0.2,0.0818,0.9011,0.0818,0.9011
21.0,0.21,0.0946,0.9452,0.0946,0.9452
22.0,0.22,0.1088,0.989,0.1088,0.989
23.0,0.23,0.1242,1.0325,0.1242,1.0325
24.0,0.24,0.141,1.0756,0.141,1.0756
25.0,0.25,0.1592,1.1184,0.1592,1.1184
26.0,0.26,0.1789,1.1608,0.1789,1.1608
27.0,0.27,0.2001,1.2027,0.2001,1.2027
28.0,0.28,0.2229,1.244,0.2229,1.244
29.0,0.29,0.2473,1.2847,0.2473,1.2847
30.0,0.3,0.2733,1.3248,0.2733,1.3248
31.0,0.31,0.3011,1.3642,0.3011,1.3642
32.0,0.32,0.3305,1.4027,0.3305,1.4027
