Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0.0,-0.0184,-0.9053,0.8121,-0.3949,0.0656,0.1741,-0.5115,-0.3646,-0.098,-0.2862,0.2175,0.9372,-1.2982,-1.0846
0.01,-0.0187,-0.8939,0.8129,-0.3919,0.0595,0.1822,-0.5336,-0.3475,-0.0743,-0.3058,0.1992,0.9017,-1.3016,-1.0963
0.02,-0.0191,-0.8826,0.8136,-0.3888,0.0534,0.1902,-0.5555,-0.3307,-0.051,-0.3249,0.1811,0.8658,-1.305,-1.1091
0.03,-0.0196,-0.8712,0.8143,-0.3855,0.0472,0.198,-0.5773,-0.3145,-0.0281,-0.3431,0.1637,0.8286,-1.3082,-1.1221
0.04,-0.0202,-0.8599,0.8147,-0.382,0.0409,0.2056,-0.599,-0.2991,-0.0058,-0.3601,0.1471,0.7889,-1.3113,-1.1342
0.05,-0.021,-0.8486,0.8149,-0.3783,0.0345,0.2129,-0.6205,-0.2849,0.0158,-0.3755,0.1316,0.746,-1.3143,-1.145
0.06,-0.0219,-0.8374,0.8148,-0.3742,0.028,0.2199,-0.6418,-0.2718,0.0366,-0.389,0.1173,0.6993,-1.3172,-1.1537
0.07,-0.023,-0.8261,0.8144,-0.37,0.0214,0.2266,-0.6628,-0.26,0.0567,-0.4004,0.1043,0.6483,-1.3199,-1.1603
0.08,-0.0241,-0.8148,0.8137,-0.3656,0.0149,0.2329,-0.6835,-0.2496,0.076,-0.4097,0.0927,0.5931,-1.3226,-1.1647
0.09,-0.0253,-0.8035,0.8127,-0.3613,0.0086,0.2388,-0.7037,-0.2404,0.0946,-0.4168,0.0825,0.5343,-1.3253,-1.1669
0.1,-0.0265,-0.7921,0.8115,-0.3571,0.0024,0.2443,-0.7233,-0.2323,0.1125,-0.422,0.0739,0.4727,-1.3281,-1.1673
0.11,-0.0276,-0.7807,0.81,-0.3531,-0.0035,0.2494,-0.7421,-0.2253,0.1297,-0.4253,0.067,0.4094,-1.331,-1.1661
0.12,-0.0286,-0.7691,0.8084,-0.3497,-0.0091,0.254,-0.7599,-0.2193,0.1463,-0.427,0.062,0.3462,-1.3342,-1.1638
0.13,-0.0293,-0.7575,0.8067,-0.3468,-0.0142,0.2582,-0.7765,-0.214,0.1622,-0.4276,0.0589,0.2846,-1.3377,-1.1608
0.14,-0.0298,-0.7458,0.8048,-0.3446,-0.0189,0.2617,-0.7917,-0.2095,0.1775,-0.4273,0.0579,0.2265,-1.3417,-1.1575
0.15,-0.03,-0.734,0.8029,-0.3432,-0.0229,0.2647,-0.8054,-0.2055,0.1921,-0.4265,0.0591,0.1738,-1.3459,-1.1542
0.16,-0.0298,-0.722,0.801,-0.3428,-0.0263,0.2672,-0.8173,-0.2022,0.2062,-0.4256,0.0625,0.128,-1.3505,-1.1513
0.17,-0.0293,-0.7098,0.7991,-0.3434,-0.029,0.269,-0.8273,-0.1993,0.2196,-0.4248,0.0681,0.0904,-1.3552,-1.1489
0.18,-0.0284,-0.6975,0.7973,-0.3449,-0.0309,0.2702,-0.8354,-0.197,0.2325,-0.4243,0.0761,0.0621,-1.3597,-1.1472
0.19,-0.0271,-0.6849,0.7955,-0.3473,-0.032,0.2708,-0.8416,-0.1952,0.2449,-0.4244,0.0863,0.0435,-1.3637,-1.146
0.2,-0.0255,-0.6721,0.7938,-0.3506,-0.032,0.2709,-0.8457,-0.1939,0.2568,-0.425,0.0988,0.0347,-1.3666,-1.145
0.21,-0.0235,-0.6591,0.7922,-0.3548,-0.0311,0.2705,-0.848,-0.1932,0.2681,-0.4261,0.1136,0.0353,-1.368,-1.144
0.22,-0.0211,-0.6458,0.7907,-0.3595,-0.0289,0.2697,-0.8486,-0.193,0.2785,-0.4275,0.1308,0.0446,-1.3672,-1.1425
0.23,-0.0184,-0.6322,0.7893,-0.3648,-0.0256,0.2684,-0.8475,-0.1934,0.288,-0.4289,0.1506,0.0613,-1.3634,-1.1399
0.24,-0.0154,-0.6184,0.7879,-0.3704,-0.0209,0.2668,-0.8449,-0.1944,0.2961,-0.4301,0.1734,0.0839,-1.3559,-1.1361
0.25,-0.0122,-0.6044,0.7867,-0.3762,-0.015,0.2648,-0.841,-0.196,0.3024,-0.4308,0.1996,0.111,-1.3439,-1.1307
0.26,-0.0088,-0.5901,0.7856,-0.3819,-0.0078,0.2623,-0.8358,-0.1982,0.3064,-0.4307,0.2296,0.141,-1.3264,-1.1239
0.27,-0.0055,-0.5757,0.7846,-0.3874,0.0007,0.2595,-0.8296,-0.2009,0.3077,-0.4296,0.2639,0.1722,-1.3028,-1.1162
0.28,-0.0021,-0.5611,0.7837,-0.3926,0.0104,0.2561,-0.8223,-0.2042,0.3057,-0.4274,0.3027,0.2035,-1.2722,-1.1084
0.29,0.0011,-0.5465,0.783,-0.3974,0.0212,0.2521,-0.814,-0.208,0.3,-0.4238,0.3464,0.2338,-1.2341,-1.1016
0.3,0.0041,-0.5318,0.7825,-0.4016,0.0328,0.2474,-0.8048,-0.2125,0.2904,-0.419,0.3948,0.2622,-1.1886,-1.0966
0.31,0.0069,-0.5173,0.7821,-0.4053,0.0453,0.242,-0.7946,-0.2177,0.2767,-0.4127,0.4476,0.2883,-1.1361,-1.0945
0.32,0.0092,-0.5028,0.7819,-0.4084,0.0582,0.2357,-0.7836,-0.2236,0.2591,-0.4051,0.5042,0.3115,-1.0782,-1.0959
0.33,0.0112,-0.4885,0.7819,-0.411,0.0716,0.2286,-0.7716,-0.2304,0.2377,-0.3962,0.5635,0.3317,-1.0171,-1.1009
0.34,0.0128,-0.4745,0.7821,-0.413,0.0851,0.2206,-0.7589,-0.238,0.213,-0.386,0.6244,0.3485,-0.9562,-1.1095
0.35,0.0139,-0.4608,0.7824,-0.4147,0.0986,0.2116,-0.7455,-0.2465,0.1856,-0.3744,0.6853,0.362,-0.8987,-1.1213
0.36,0.0146,-0.4474,0.7829,-0.4159,0.112,0.2018,-0.7315,-0.256,0.156,-0.3616,0.7448,0.3719,-0.8479,-1.1355
0.37,0.0148,-0.4344,0.7836,-0.4167,0.125,0.1911,-0.7169,-0.2665,0.1248,-0.3476,0.8011,0.3782,-0.8062,-1.1513
0.38,0.0146,-0.4217,0.7844,-0.4172,0.1377,0.1797,-0.7021,-0.2778,0.0926,-0.3323,0.8531,0.381,-0.775,-1.1677
0.39,0.0141,-0.4093,0.7854,-0.4174,0.1498,0.1676,-0.687,-0.29,0.0598,-0.316,0.8995,0.3804,-0.7552,-1.1838
0.4,0.0132,-0.3972,0.7866,-0.4171,0.1615,0.155,-0.6719,-0.3029,0.027,-0.2987,0.9395,0.3765,-0.7469,-1.199
0.41,0.0119,-0.3855,0.7879,-0.4164,0.1727,0.142,-0.6567,-0.3166,-0.0057,-0.2805,0.9724,0.3698,-0.7498,-1.2126
0.42,0.0105,-0.3739,0.7894,-0.4153,0.1835,0.1288,-0.6418,-0.3308,-0.038,-0.2615,0.9982,0.3604,-0.7635,-1.2243
0.43,0.0089,-0.3626,0.791,-0.4137,0.1937,0.1155,-0.627,-0.3457,-0.0698,-0.242,1.0166,0.3488,-0.7873,-1.2339
0.44,0.0071,-0.3515,0.7927,-0.4116,0.2036,0.1022,-0.6126,-0.3613,-0.101,-0.2219,1.0281,0.3355,-0.82,-1.2415
0.45,0.0052,-0.3404,0.7944,-0.409,0.2132,0.0891,-0.5985,-0.3774,-0.1316,-0.2016,1.0329,0.3209,-0.86,-1.2473
0.46,0.0033,-0.3294,0.7962,-0.4058,0.2223,0.0764,-0.5847,-0.3941,-0.1616,-0.181,1.0315,0.3053,-0.9052,-1.2516
0.47,0.0013,-0.3185,0.798,-0.4021,0.2311,0.0639,-0.5713,-0.4115,-0.1909,-0.1605,1.0244,0.2891,-0.953,-1.2547
0.48,-0.0008,-0.3077,0.7998,-0.3979,0.2395,0.0519,-0.5582,-0.4296,-0.2194,-0.14,1.0119,0.2728,-1.0006,-1.257
0.49,-0.0028,-0.2969,0.8014,-0.3932,0.2474,0.0403,-0.5454,-0.4482,-0.247,-0.1197,0.9945,0.2564,-1.0456,-1.2588
0.5,-0.0049,-0.2861,0.8029,-0.3881,0.2548,0.0291,-0.5328,-0.4675,-0.2735,-0.0997,0.9723,0.2403,-1.0858,-1.2604
0.51,-0.007,-0.2754,0.8042,-0.3825,0.2616,0.0183,-0.5206,-0.4873,-0.2988,-0.0801,0.9456,0.2246,-1.1199,-1.2619
0.52,-0.0091,-0.2647,0.8053,-0.3765,0.2677,0.0078,-0.5087,-0.5076,-0.3226,-0.0609,0.9143,0.2095,-1.1474,-1.2636
0.53,-0.0113,-0.2541,0.8062,-0.3702,0.2733,-0.0023,-0.4971,-0.5283,-0.3447,-0.0421,0.8784,0.1949,-1.1683,-1.2654
0.54,-0.0135,-0.2434,0.8068,-0.3637,0.2781,-0.0121,-0.486,-0.5494,-0.3647,-0.0238,0.8381,0.181,-1.183,-1.2675
0.55,-0.0157,-0.2329,0.8071,-0.357,0.2823,-0.0216,-0.4753,-0.5708,-0.3827,-0.0057,0.7932,0.1678,-1.1924,-1.2697
0.56,-0.0179,-0.2223,0.8072,-0.3501,0.2858,-0.0309,-0.4652,-0.5923,-0.3983,0.012,0.744,0.1551,-1.1974,-1.2721
0.57,-0.02,-0.2118,0.807,-0.3432,0.2886,-0.0398,-0.4556,-0.6139,-0.4115,0.0295,0.6906,0.1431,-1.199,-1.2746
0.58,-0.0221,-0.2012,0.8065,-0.3363,0.2909,-0.0485,-0.4466,-0.6353,-0.4223,0.0469,0.6336,0.1316,-1.1981,-1.2772
0.59,-0.024,-0.1906,0.8058,-0.3295,0.2925,-0.0568,-0.4384,-0.6566,-0.4307,0.0642,0.5735,0.1208,-1.1956,-1.2799
0.6,-0.0258,-0.1799,0.8048,-0.3229,0.2936,-0.0647,-0.4308,-0.6774,-0.437,0.0814,0.5112,0.1107,-1.1921,-1.2827
0.61,-0.0275,-0.1692,0.8036,-0.3164,0.2941,-0.0721,-0.4239,-0.6978,-0.4414,0.0985,0.4476,0.1014,-1.1882,-1.2855
0.62,-0.029,-0.1584,0.8023,-0.3101,0.294,-0.0791,-0.4178,-0.7175,-0.4442,0.1155,0.384,0.093,-1.1845,-1.2886
0.63,-0.0303,-0.1476,0.8007,-0.304,0.2933,-0.0856,-0.4124,-0.7365,-0.4456,0.1322,0.3217,0.0858,-1.1812,-1.2917
0.64,-0.0314,-0.1366,0.7991,-0.2982,0.2921,-0.0915,-0.4077,-0.7545,-0.4461,0.1486,0.262,0.0799,-1.1785,-1.2951
0.65,-0.0323,-0.1256,0.7973,-0.2926,0.2904,-0.0967,-0.4037,-0.7715,-0.4459,0.1646,0.2064,0.0754,-1.1765,-1.2988
0.66,-0.033,-0.1144,0.7954,-0.2873,0.2881,-0.1012,-0.4004,-0.7875,-0.4453,0.1801,0.1562,0.0727,-1.1753,-1.3026
0.67,-0.0336,-0.1031,0.7935,-0.2822,0.2852,-0.1048,-0.3978,-0.8022,-0.4446,0.1952,0.1125,0.0717,-1.1747,-1.3065
