# Model:
# Number_of_Rigid_Bodies:12
# Number_of_Frames:109
# Sampling_Frequency:100

# ***** Coordinates [m] *****
# Frame,Time,Body_1_X,Body_1_Y,Body_1_Ux,Body_1_Uy,Body_2_X,Body_2_Y,Body_2_Ux,Body_2_Uy,Body_3_X,Body_3_Y,Body_3_Ux,Body_3_Uy,Body_4_X,Body_4_Y,Body_4_Ux,Body_4_Uy,Body_5_X,Body_5_Y,Body_5_Ux,Body_5_Uy,Body_6_X,Body_6_Y,Body_6_Ux,Body_6_Uy,Body_7_X,Body_7_Y,Body_7_Ux,Body_7_Uy,Body_8_X,Body_8_Y,Body_8_Ux,Body_8_Uy,Body_9_X,Body_9_Y,Body_9_Ux,Body_9_Uy,Body_10_X,Body_10_Y,Body_10_Ux,Body_10_Uy,Body_11_X,Body_11_Y,Body_11_Ux,Body_11_Uy,Body_12_X,Body_12_Y,Body_12_Ux,Body_12_Uy
0.0,0.0,-0.024,0.9559,0.9995,0.0317,-0.0036,1.4323,0.976,-0.2175,-0.0639,1.164,0.9753,-0.2209,-0.0183,1.1668,0.9917,0.1288,-0.0882,0.9195,0.9846,0.1747,0.0675,0.9612,0.5449,0.8385,0.0555,0.6379,0.8897,0.4565,-0.0599,0.6202,0.9687,-0.2482,0.221,0.3059,0.9016,0.4326,-0.1699,0.2666,0.931,-0.3651,0.3694,0.1199,-0.0415,0.9991,-0.193,0.0436,0.5929,0.8053
1.0,0.01,-0.0108,0.9548,0.9995,0.0306,0.0096,1.4313,0.9767,-0.2146,-0.0497,1.1628,0.9762,-0.2167,-0.0057,1.1656,0.9926,0.1214,-0.0729,0.9182,0.9835,0.1808,0.0787,0.9595,0.5492,0.8357,0.0683,0.6367,0.8903,0.4554,-0.0485,0.6195,0.9663,-0.2574,0.2311,0.3034,0.9089,0.4171,-0.1643,0.268,0.9208,-0.3901,0.3763,0.1144,-0.017,0.9999,-0.1937,0.0453,0.6218,0.7832
2.0,0.02,0.0027,0.9539,0.9996,0.0294,0.0231,1.4305,0.9773,-0.2119,-0.0352,1.1618,0.9772,-0.2122,0.0071,1.1646,0.9937,0.1125,-0.0571,0.9171,0.9823,0.1873,0.0896,0.9578,0.5564,0.8309,0.0814,0.6357,0.891,0.454,-0.0364,0.619,0.9643,-0.2647,0.2407,0.3008,0.9178,0.397,-0.1578,0.2696,0.9093,-0.4162,0.3817,0.1082,0.0146,0.9999,-0.1942,0.0472,0.6543,0.7562
3.0,0.03,0.0164,0.9532,0.9996,0.0282,0.0368,1.4299,0.9779,-0.2091,-0.0205,1.161,0.9783,-0.2074,0.0199,1.1638,0.9947,0.1024,-0.041,0.9162,0.981,0.1939,0.1003,0.956,0.5662,0.8243,0.0946,0.6348,0.8917,0.4525,-0.0237,0.6185,0.963,-0.2696,0.2499,0.2983,0.9276,0.3735,-0.1503,0.2714,0.8963,-0.4434,0.3859,0.1014,0.0516,0.9987,-0.1942,0.0494,0.6904,0.7234
4.0,0.04,0.0302,0.9528,0.9996,0.0269,0.0507,1.4296,0.9785,-0.2064,-0.0055,1.1604,0.9793,-0.2023,0.0327,1.1632,0.9958,0.0913,-0.0247,0.9156,0.9797,0.2006,0.1106,0.9544,0.5786,0.8156,0.1079,0.6343,0.8927,0.4506,-0.0105,0.6182,0.9624,-0.2717,0.2586,0.2959,0.9377,0.3474,-0.1419,0.2735,0.8818,-0.4716,0.389,0.0946,0.0924,0.9957,-0.1938,0.0519,0.7298,0.6837
5.0,0.05,0.044,0.9525,0.9997,0.0257,0.0645,1.4294,0.979,-0.2037,0.0094,1.16,0.9805,-0.1966,0.0455,1.1628,0.9968,0.0794,-0.0082,0.9151,0.9782,0.2078,0.1205,0.9527,0.5934,0.8049,0.1211,0.6338,0.8938,0.4484,0.0034,0.6178,0.9628,-0.2703,0.267,0.2937,0.9475,0.3197,-0.1321,0.2755,0.8658,-0.5004,0.3913,0.0878,0.1346,0.9909,-0.1928,0.0545,0.7714,0.6364
6.0,0.06,0.0579,0.9524,0.9997,0.0247,0.0783,1.4294,0.9796,-0.2007,0.0245,1.1598,0.9817,-0.1902,0.0581,1.1626,0.9977,0.0671,0.0085,0.9147,0.9765,0.2153,0.1302,0.951,0.6103,0.7921,0.1345,0.6335,0.895,0.4461,0.018,0.6175,0.9643,-0.2649,0.2754,0.2917,0.9566,0.2913,-0.1208,0.2775,0.8483,-0.5295,0.3933,0.0815,0.176,0.9844,-0.1907,0.0573,0.8139,0.581
7.0,0.07,0.0717,0.9526,0.9997,0.0238,0.0919,1.4296,0.9802,-0.1978,0.0395,1.1597,0.9831,-0.1831,0.0706,1.1626,0.9985,0.0546,0.0254,0.9146,0.9747,0.2234,0.1394,0.9494,0.6292,0.7773,0.1476,0.6334,0.8964,0.4433,0.0332,0.6171,0.9669,-0.2553,0.2834,0.2899,0.9649,0.2628,-0.108,0.2795,0.8293,-0.5588,0.395,0.0758,0.2148,0.9767,-0.1877,0.0605,0.8559,0.5172
8.0,0.08,0.0853,0.9529,0.9997,0.0231,0.1053,1.43,0.9809,-0.1946,0.0544,1.1598,0.9846,-0.175,0.0828,1.1629,0.9991,0.0421,0.0424,0.9146,0.9727,0.2323,0.1483,0.948,0.6496,0.7603,0.1606,0.6334,0.898,0.4401,0.049,0.6168,0.9705,-0.2413,0.2912,0.2885,0.972,0.2349,-0.0935,0.2815,0.8091,-0.5876,0.3965,0.0709,0.2494,0.9684,-0.1834,0.0642,0.895,0.446
9.0,0.09,0.0987,0.9534,0.9997,0.0226,0.1184,1.4306,0.9815,-0.1914,0.0691,1.1601,0.9861,-0.1659,0.0948,1.1633,0.9996,0.0299,0.0595,0.9148,0.9702,0.2423,0.1569,0.9467,0.6712,0.7413,0.1733,0.6336,0.8998,0.4362,0.0654,0.6166,0.9748,-0.223,0.2988,0.2873,0.9781,0.208,-0.0775,0.2835,0.7879,-0.6158,0.398,0.0667,0.2788,0.9603,-0.1778,0.0683,0.9295,0.3689
