# Model:
# Number_of_Rigid_Bodies:12
# Number_of_Frames:109
# Sampling_Frequency:100

# ***** Coordinates [m] *****
# Frame,Time,Body_1_X,Body_1_Y,Body_1_Ux,Body_1_Uy,Body_2_X,Body_2_Y,Body_2_Ux,Body_2_Uy,Body_3_X,Body_3_Y,Body_3_Ux,Body_3_Uy,Body_4_X,Body_4_Y,Body_4_Ux,Body_4_Uy,Body_5_X,Body_5_Y,Body_5_Ux,Body_5_Uy,Body_6_X,Body_6_Y,Body_6_Ux,Body_6_Uy,Body_7_X,Body_7_Y,Body_7_Ux,Body_7_Uy,Body_8_X,Body_8_Y,Body_8_Ux,Body_8_Uy,Body_9_X,Body_9_Y,Body_9_Ux,Body_9_Uy,Body_10_X,Body_10_Y,Body_10_Ux,Body_10_Uy,Body_11_X,Body_11_Y,Body_11_Ux,Body_11_Uy,Body_12_X,Body_12_Y,Body_12_Ux,Body_12_Uy,Mixed_Ang_Driver_1,Mixed_Ang_Driver_2,Mixed_Ang_Driver_3,Mixed_Ang_Driver_4,Mixed_Ang_Driver_5,Mixed_Ang_Driver_6,Mixed_Ang_Driver_7,Mixed_Ang_Driver_8,Mixed_Ang_Driver_9,Mixed_Ang_Driver_10,Mixed_Ang_Driver_11,Mixed_Ang_Driver_12
0.0,0.0,-0.0078,1.0977,0.9975,-0.024,0.0421,1.4424,0.9611,-0.2844,-0.0441,1.1505,0.9641,-0.2846,0.0058,1.153,1.0028,0.0661,-0.0853,0.9131,0.9885,0.1018,0.0756,0.9411,0.6164,0.7809,0.0499,0.6232,0.9174,0.4026,-0.0665,0.6236,0.9451,-0.3232,0.1952,0.28,0.9265,0.373,-0.2022,0.2801,0.9044,-0.429,0.3303,0.0853,0.0345,1.0006,-0.2411,0.0605,0.6358,0.7704,0.024,-0.2637,-0.263,0.0898,0.3896,0.8368,0.4375,-0.3055,-0.0308,-0.1134,1.1536,1.3237
1.0,0.01,0.0048,1.0965,0.9975,-0.0226,0.0538,1.4415,0.9624,-0.2799,-0.0309,1.1485,0.9663,-0.2773,0.0174,1.1521,1.0031,0.061,-0.0703,0.9105,0.9876,0.109,0.0862,0.94,0.6181,0.7795,0.063,0.6223,0.9171,0.4035,-0.0546,0.6228,0.9426,-0.3303,0.2062,0.2784,0.9317,0.3594,-0.1953,0.2814,0.8935,-0.4514,0.3385,0.0814,0.0557,0.9998,-0.2399,0.0622,0.6628,0.7473,0.0227,-0.2603,-0.2567,0.0834,0.3894,0.8396,0.4372,-0.3143,-0.0463,-0.1308,1.147,1.313
2.0,0.02,0.0176,1.0955,0.9975,-0.0212,0.0656,1.4409,0.9637,-0.2754,-0.0175,1.1467,0.9686,-0.2698,0.0291,1.1514,1.0034,0.0547,-0.055,0.908,0.9867,0.1166,0.0964,0.9391,0.622,0.7765,0.0763,0.6215,0.9167,0.4044,-0.0422,0.622,0.9408,-0.3354,0.2167,0.2769,0.9384,0.3412,-0.1876,0.2827,0.8814,-0.4746,0.3452,0.0769,0.0829,0.998,-0.2384,0.064,0.6928,0.7196,0.0212,-0.2571,-0.2505,0.0757,0.3893,0.8409,0.4367,-0.3212,-0.0667,-0.1515,1.1391,1.2983
3.0,0.03,0.0305,1.0948,0.9975,-0.0196,0.0775,1.4405,0.965,-0.271,-0.0039,1.145,0.9709,-0.262,0.0407,1.151,1.0037,0.0477,-0.0394,0.9058,0.9857,0.1249,0.1064,0.9383,0.6284,0.7713,0.0898,0.6211,0.9163,0.4053,-0.0292,0.6214,0.94,-0.3379,0.2268,0.2755,0.9461,0.3193,-0.1789,0.2842,0.8677,-0.4991,0.3506,0.0721,0.1155,0.9948,-0.2367,0.0661,0.7261,0.6859,0.0196,-0.2541,-0.2439,0.0671,0.3897,0.8397,0.4361,-0.3254,-0.0909,-0.1769,1.1297,1.2789
4.0,0.04,0.0435,1.0944,0.9975,-0.0181,0.0896,1.4404,0.9662,-0.2665,0.0099,1.1436,0.9733,-0.2533,0.0523,1.1509,1.004,0.0394,-0.0234,0.9037,0.9845,0.1332,0.116,0.9376,0.6368,0.7645,0.1032,0.621,0.916,0.4057,-0.0156,0.6208,0.9403,-0.3371,0.2365,0.2743,0.9538,0.2953,-0.1691,0.2858,0.8525,-0.5247,0.3549,0.0671,0.1526,0.9898,-0.2344,0.0686,0.762,0.6459,0.0182,-0.251,-0.2364,0.0574,0.3891,0.837,0.4351,-0.3261,-0.1167,-0.2075,1.1176,1.2548
5.0,0.05,0.0566,1.0942,0.9975,-0.0172,0.1018,1.4405,0.9676,-0.2617,0.024,1.1425,0.9756,-0.2447,0.0639,1.1511,1.0042,0.0303,-0.0072,0.902,0.9833,0.1419,0.1254,0.937,0.6478,0.7552,0.1166,0.6211,0.9157,0.4063,-0.0015,0.6203,0.9419,-0.3327,0.2458,0.2734,0.9615,0.2694,-0.1582,0.2875,0.8354,-0.5515,0.3585,0.0623,0.1915,0.983,-0.2318,0.0714,0.8,0.5981,0.0172,-0.247,-0.2285,0.0474,0.3891,0.8316,0.4348,-0.3223,-0.1444,-0.2439,1.1053,1.2254
6.0,0.06,0.0697,1.0942,0.9975,-0.0162,0.114,1.4409,0.9688,-0.2572,0.0381,1.1416,0.9779,-0.2357,0.0755,1.1516,1.0044,0.0203,0.0091,0.9005,0.982,0.1507,0.1344,0.9366,0.6609,0.744,0.1299,0.6215,0.9158,0.406,0.0131,0.6197,0.9447,-0.3246,0.2547,0.2726,0.9687,0.2426,-0.1459,0.2892,0.8167,-0.5787,0.3615,0.0579,0.2295,0.9747,-0.2284,0.0745,0.8383,0.5432,0.0162,-0.2433,-0.2203,0.0364,0.3887,0.8243,0.4335,-0.3147,-0.1719,-0.2855,1.0941,1.1914
7.0,0.07,0.0829,1.0946,0.9976,-0.0157,0.1264,1.4413,0.9699,-0.2527,0.0525,1.1411,0.9802,-0.2263,0.0872,1.1524,1.0044,0.0096,0.0258,0.8994,0.9805,0.1598,0.1432,0.9363,0.6763,0.7302,0.1429,0.6221,0.916,0.4052,0.0283,0.6192,0.9489,-0.3124,0.2632,0.2722,0.9751,0.2156,-0.1322,0.291,0.7964,-0.6062,0.364,0.0539,0.2664,0.9653,-0.2241,0.0782,0.8764,0.4795,0.0158,-0.2391,-0.2111,0.0253,0.3885,0.8142,0.4323,-0.3023,-0.1989,-0.3326,1.0839,1.1512
8.0,0.08,0.096,1.0951,0.9976,-0.0155,0.1387,1.442,0.971,-0.2484,0.0668,1.1409,0.9825,-0.2165,0.0988,1.1535,1.0043,-0.0013,0.0427,0.8985,0.9789,0.1695,0.1517,0.9362,0.6932,0.7142,0.1556,0.6228,0.9166,0.4034,0.0441,0.6187,0.9543,-0.2957,0.2713,0.2719,0.9807,0.1889,-0.1169,0.2927,0.7745,-0.6338,0.366,0.0506,0.2985,0.9557,-0.2188,0.0822,0.9119,0.4082,0.0155,-0.2349,-0.2014,0.0143,0.3884,0.8016,0.4301,-0.2849,-0.2244,-0.3853,1.0778,1.1066
9.0,0.09,0.109,1.0959,0.9976,-0.0158,0.1511,1.4429,0.9721,-0.2443,0.0813,1.1409,0.9847,-0.2064,0.1103,1.1547,1.0041,-0.0125,0.0597,0.8981,0.9771,0.1794,0.16,0.9362,0.7119,0.6957,0.168,0.6238,0.9176,0.4008,0.0602,0.6182,0.9606,-0.275,0.2789,0.2719,0.9856,0.1625,-0.1003,0.2945,0.7514,-0.6607,0.3677,0.0479,0.3268,0.9463,-0.2122,0.0868,0.9425,0.3319,0.0158,-0.2304,-0.1908,0.0034,0.3881,0.7863,0.4276,-0.263,-0.2484,-0.4425,1.0749,1.0598
