# Model:
# Number_of_Rigid_Bodies:12
# Number_of_Frames:81
# Sampling_Frequency:100

# ***** Coordinates [m] *****
# Frame,Time,Body_1_X,Body_1_Y,Body_1_Ux,Body_1_Uy,Body_2_X,Body_2_Y,Body_2_Ux,Body_2_Uy,Body_3_X,Body_3_Y,Body_3_Ux,Body_3_Uy,Body_4_X,Body_4_Y,Body_4_Ux,Body_4_Uy,Body_5_X,Body_5_Y,Body_5_Ux,Body_5_Uy,Body_6_X,Body_6_Y,Body_6_Ux,Body_6_Uy,Body_7_X,Body_7_Y,Body_7_Ux,Body_7_Uy,Body_8_X,Body_8_Y,Body_8_Ux,Body_8_Uy,Body_9_X,Body_9_Y,Body_9_Ux,Body_9_Uy,Body_10_X,Body_10_Y,Body_10_Ux,Body_10_Uy,Body_11_X,Body_11_Y,Body_11_Ux,Body_11_Uy,Body_12_X,Body_12_Y,Body_12_Ux,Body_12_Uy,Mixed_Ang_Driver_1,Mixed_Ang_Driver_2,Mixed_Ang_Driver_3,Mixed_Ang_Driver_4,Mixed_Ang_Driver_5,Mixed_Ang_Driver_6,Mixed_Ang_Driver_7,Mixed_Ang_Driver_8,Mixed_Ang_Driver_9,Mixed_Ang_Driver_10,Mixed_Ang_Driver_11,Mixed_Ang_Driver_12
0.0,0.0,-0.9013,1.1288,0.9975,-0.02,-0.8331,1.4646,0.9154,-0.4083,-0.9096,1.1712,1.0027,-0.082,-0.9223,1.1905,0.9861,-0.1886,-0.8937,0.93,0.913,0.3922,-0.9412,0.9547,0.9821,0.1638,-0.8937,0.6436,0.9975,0.0876,-0.8626,0.6502,0.9595,0.2826,-0.8975,0.2742,0.989,-0.1403,-0.8966,0.3255,0.7696,-0.6369,-0.8743,0.0454,0.4038,0.9159,-0.9986,0.1171,0.9067,0.4237,0.02,-0.3995,-0.0615,-0.1689,0.4873,0.3542,0.1076,0.3065,-0.2285,-0.9778,1.2965,1.1285
1.0,0.01,-0.8898,1.1296,0.9975,-0.0206,-0.8219,1.4654,0.9164,-0.4059,-0.8972,1.1723,1.003,-0.0768,-0.9118,1.1913,0.9846,-0.197,-0.8785,0.932,0.9017,0.4176,-0.934,0.9556,0.9858,0.1387,-0.8863,0.644,0.9993,0.0635,-0.8483,0.6519,0.9537,0.3013,-0.8961,0.2743,0.9883,-0.1458,-0.8719,0.3234,0.8029,-0.5946,-0.8741,0.0455,0.4071,0.9144,-0.9621,0.1106,0.8763,0.483,0.0206,-0.3963,-0.0558,-0.1768,0.5101,0.3372,0.0841,0.3266,-0.21,-0.9434,1.2984,1.1411
2.0,0.02,-0.8783,1.1303,0.9976,-0.021,-0.8109,1.4661,0.9175,-0.4033,-0.8848,1.1733,1.0033,-0.0712,-0.9013,1.192,0.9829,-0.205,-0.8633,0.934,0.8898,0.4425,-0.9267,0.9563,0.989,0.1139,-0.8789,0.6444,1.0005,0.0393,-0.8341,0.6533,0.9478,0.319,-0.8947,0.2745,0.9876,-0.1512,-0.8474,0.321,0.8345,-0.55,-0.8739,0.0456,0.4094,0.9132,-0.9255,0.1042,0.843,0.5384,0.0211,-0.393,-0.0498,-0.1845,0.5323,0.3202,0.0603,0.3457,-0.1911,-0.9074,1.3012,1.1511
3.0,0.03,-0.8668,1.1307,0.9976,-0.0214,-0.7997,1.4666,0.9186,-0.4008,-0.8724,1.1741,1.0035,-0.0658,-0.8908,1.1926,0.9813,-0.2128,-0.8482,0.9357,0.8775,0.4667,-0.9193,0.9569,0.9915,0.0894,-0.8713,0.6446,1.0011,0.0152,-0.82,0.6544,0.9422,0.335,-0.8932,0.2746,0.9868,-0.157,-0.823,0.3185,0.864,-0.5029,-0.8737,0.0458,0.4123,0.9119,-0.8886,0.0981,0.8062,0.5915,0.0214,-0.3899,-0.0441,-0.1921,0.5543,0.3035,0.0366,0.3631,-0.1729,-0.8688,1.3039,1.1601
4.0,0.04,-0.8553,1.1309,0.9976,-0.0219,-0.7885,1.4671,0.9197,-0.398,-0.86,1.1746,1.0037,-0.0602,-0.8803,1.1929,0.9795,-0.2208,-0.833,0.9373,0.8645,0.4905,-0.9118,0.9574,0.9933,0.0662,-0.8638,0.6448,1.0012,-0.0084,-0.8062,0.6551,0.9367,0.3497,-0.8917,0.2749,0.9858,-0.1632,-0.7986,0.3158,0.8916,-0.4529,-0.8735,0.046,0.4166,0.9099,-0.8514,0.0923,0.7665,0.6416,0.0219,-0.3865,-0.0379,-0.1998,0.5759,0.2882,0.0135,0.3792,-0.1556,-0.8273,1.3055,1.1669
5.0,0.05,-0.8437,1.1309,0.9977,-0.0224,-0.7773,1.4672,0.9209,-0.3951,-0.8475,1.1748,1.0039,-0.0549,-0.8697,1.1928,0.9777,-0.2289,-0.8179,0.9385,0.851,0.5138,-0.9042,0.9575,0.9945,0.0446,-0.8561,0.6447,1.0007,-0.0316,-0.7925,0.6554,0.9317,0.3627,-0.89,0.275,0.9847,-0.1698,-0.7743,0.313,0.9167,-0.4,-0.8733,0.0462,0.42,0.9082,-0.8137,0.0872,0.7227,0.6903,0.0225,-0.3828,-0.0322,-0.2075,0.5978,0.2747,-0.0092,0.3937,-0.1392,-0.7826,1.3084,1.1739
6.0,0.06,-0.8322,1.1305,0.9977,-0.0232,-0.766,1.467,0.9221,-0.3924,-0.835,1.1747,1.0041,-0.0495,-0.859,1.1925,0.976,-0.2361,-0.8027,0.9396,0.8367,0.5369,-0.8963,0.9574,0.9953,0.0231,-0.8484,0.6446,0.9997,-0.054,-0.7793,0.6554,0.9273,0.374,-0.8882,0.2753,0.9835,-0.177,-0.75,0.3102,0.9394,-0.3436,-0.8731,0.0464,0.4244,0.9062,-0.7755,0.0826,0.676,0.736,0.0232,-0.3791,-0.026,-0.2141,0.6197,0.2605,-0.0308,0.4065,-0.1241,-0.7339,1.3109,1.1785
7.0,0.07,-0.8205,1.1298,0.9976,-0.0238,-0.7547,1.4666,0.9233,-0.3895,-0.8224,1.1743,1.0043,-0.0439,-0.8483,1.1919,0.9742,-0.2434,-0.7876,0.9403,0.8224,0.5587,-0.8882,0.957,0.9955,0.0041,-0.8405,0.6443,0.9982,-0.0763,-0.7661,0.6549,0.9236,0.3833,-0.8863,0.2755,0.9821,-0.185,-0.7259,0.3074,0.9589,-0.2844,-0.873,0.0467,0.4287,0.9041,-0.7371,0.0789,0.626,0.779,0.0238,-0.3754,-0.0199,-0.2211,0.6405,0.2489,-0.0525,0.4172,-0.1098,-0.6817,1.3141,1.1823
8.0,0.08,-0.8088,1.1289,0.9976,-0.0246,-0.7433,1.4657,0.9245,-0.3867,-0.8098,1.1736,1.0045,-0.039,-0.8374,1.191,0.9725,-0.2505,-0.7725,0.9407,0.8075,0.58,-0.8798,0.9563,0.9953,-0.0137,-0.8325,0.6438,0.9963,-0.0975,-0.7533,0.6541,0.9206,0.3908,-0.8841,0.2757,0.9804,-0.1939,-0.702,0.3047,0.9752,-0.2219,-0.8728,0.0469,0.4337,0.9017,-0.6984,0.0761,0.5725,0.8192,0.0246,-0.3715,-0.0141,-0.2275,0.6617,0.2384,-0.073,0.4261,-0.0976,-0.6252,1.3176,1.1846
9.0,0.09,-0.7971,1.1276,0.9976,-0.0253,-0.7318,1.4646,0.9256,-0.3841,-0.7971,1.1726,1.0046,-0.0337,-0.8265,1.1897,0.9708,-0.2572,-0.7575,0.9408,0.7927,0.6002,-0.8712,0.9553,0.9949,-0.0301,-0.8243,0.6431,0.994,-0.1184,-0.7408,0.6528,0.9185,0.3962,-0.8819,0.2759,0.9785,-0.2032,-0.6784,0.302,0.9875,-0.1574,-0.8727,0.0473,0.4398,0.8987,-0.6598,0.0743,0.5161,0.8561,0.0254,-0.368,-0.0081,-0.2336,0.6816,0.2287,-0.0932,0.4326,-0.0862,-0.5652,1.3204,1.1863
